Stkcd,Accper,TTM,ROCA,ROE
600048,2023/9/30,0.019837,0.017359,0.123554
600048,2023/12/31,0.019955,0.012309,0.054308
600048,2023/12/31,0.02705,0.027146,0.182211
600048,2024/3/31,0.004301,0.002784,0.011704
600048,2024/3/31,0.000125,-0.002147,-0.014123
600048,2024/6/30,0.011396,0.007569,0.031453
600048,2024/6/30,0.015771,0.013457,0.08891
600048,2024/9/30,0.013901,0.00871,0.035898
600048,2024/9/30,0.015823,0.011677,0.078387
600048,2024/12/31,0.014591,0.007026,0.02866
600048,2024/12/31,0.019058,0.016532,0.10899
600048,2025/3/31,0.004185,0.002527,0.009795
600048,2025/3/31,0.000013,-0.001644,-0.011539
600048,2025/6/30,0.008882,0.004975,0.01909
600048,2025/6/30,0.003336,0.000702,0.004795
600754,2007/3/31,0.027795,0.024467,0.02735
600754,2007/3/31,0.018902,0.018887,0.019638
600754,2007/6/30,0.067139,0.058993,0.066352
600754,2007/6/30,0.047555,0.046474,0.048383
600754,2007/9/30,0.095542,0.084673,0.094715
600754,2007/9/30,0.061041,0.060708,0.062998
600754,2007/12/31,0.073371,0.064689,0.078059
600754,2007/12/31,0.06038,0.060829,0.070736
600754,2008/3/31,0.014915,0.013785,0.016794
600754,2008/3/31,0.010258,0.010644,0.012646
600754,2008/6/30,0.035706,0.033407,0.040825
600754,2008/6/30,0.038433,0.039386,0.046894
600754,2008/9/30,0.046935,0.044251,0.053944
600754,2008/9/30,0.044289,0.04566,0.054192
600754,2008/12/31,0.06406,0.060847,0.073253
600754,2008/12/31,0.056673,0.058124,0.068124
600754,2009/3/31,0.031842,0.027076,0.031498
600754,2009/3/31,0.032932,0.028248,0.031665
600754,2009/6/30,0.058944,0.050516,0.059
600754,2009/6/30,0.079699,0.071633,0.080834
600754,2009/9/30,0.068282,0.060263,0.070236
600754,2009/9/30,0.086307,0.079184,0.089013
600754,2009/12/31,0.080381,0.071793,0.084011
600754,2009/12/31,0.092874,0.086243,0.097818
600754,2010/3/31,0.012523,0.012415,0.014675
600754,2010/3/31,0.011237,0.011719,0.013499
600754,2010/6/30,0.045007,0.037582,0.049926
600754,2010/6/30,0.037816,0.03933,0.044433
600754,2010/9/30,0.069418,0.05734,0.074347
600754,2010/9/30,0.049163,0.050759,0.056553
600754,2010/12/31,0.075665,0.061139,0.080221
600754,2010/12/31,0.064603,0.066114,0.074481
600754,2011/3/31,0.015696,0.013642,0.017122
600754,2011/3/31,0.010512,0.010558,0.011588
600754,2011/6/30,0.040703,0.034647,0.044792
600754,2011/6/30,0.024345,0.024299,0.027205
600754,2011/9/30,0.062098,0.051741,0.065395
600754,2011/9/30,0.029915,0.029766,0.032379
600754,2011/12/31,0.075249,0.061644,0.077324
600754,2011/12/31,0.050191,0.050349,0.054432
600754,2012/3/31,0.0194,0.016374,0.020152
600754,2012/3/31,0.014321,0.013967,0.014912
600754,2012/6/30,0.055928,0.044305,0.055216
600754,2012/6/30,0.057706,0.05348,0.057285
600754,2012/9/30,0.079843,0.063269,0.079575
600754,2012/9/30,0.063833,0.059656,0.063899
600754,2012/12/31,0.09167,0.071488,0.089382
600754,2012/12/31,0.062157,0.058312,0.062571
600754,2013/3/31,0.022448,0.017496,0.021927
