Stkcd,Accper,Source,CR,CaR,DER,DAR
601919,2012/3/31,0,1.31467,0.9315,2.351309,0.701609
601919,2012/6/30,0,1.315175,0.881083,2.439893,0.709293
601919,2012/9/30,0,1.385784,0.888753,2.565521,0.719536
601919,2012/12/31,0,1.590033,1.16118,2.962539,0.747637
601919,2013/3/31,0,1.748112,1.274239,3.314071,0.7682
601919,2013/6/30,0,1.505995,1.165307,3.053064,0.753273
601919,2013/9/30,0,1.21722,0.957984,3.200146,0.761913
601919,2013/12/31,0,1.347093,1.001766,2.844958,0.739919
601919,2014/3/31,0,1.264101,0.996531,2.93037,0.745571
601919,2014/6/30,0,1.380998,1.025797,2.729384,0.731859
601919,2014/9/30,0,1.442713,1.101451,2.649655,0.726001
601919,2014/12/31,0,1.436305,1.121667,2.464327,0.711344
601919,2015/3/31,0,1.338931,1.033064,2.466369,0.711514
601919,2015/6/30,0,1.506305,1.175488,2.421316,0.707715
601919,2015/9/30,0,1.437048,1.10533,2.46616,0.711496
601919,2015/12/31,0,1.60065,1.250276,2.297761,0.696764
601919,2016/3/31,0,1.720648,1.325956,1.793813,0.642066
601919,2016/6/30,0,1.593318,1.20564,2.005136,0.667236
601919,2016/9/30,0,1.387182,0.997647,2.232648,0.690656
601919,2016/12/31,0,1.354079,0.960835,2.186587,0.686185
601919,2017/3/31,0,1.300602,0.876953,2.129304,0.68044
601919,2017/6/30,0,0.981455,0.618225,1.987021,0.665218
601919,2017/9/30,0,1.06708,0.736445,2.08144,0.675476
601919,2017/12/31,0,0.906884,0.591799,2.047088,0.671818
601919,2018/3/31,0,0.854254,0.513427,1.983639,0.664839
601919,2018/6/30,0,0.819702,0.535536,2.329289,0.699636
601919,2018/9/30,0,0.671554,0.357996,3.144195,0.758699
601919,2018/12/31,0,0.679263,0.369881,3.048485,0.752994
601919,2019/3/31,0,0.813994,0.458971,3.124892,0.757569
601919,2019/6/30,0,0.840674,0.402642,3.075854,0.754653
601919,2019/9/30,0,0.958372,0.497422,3.095617,0.755837
601919,2019/12/31,0,1.026609,0.706609,2.793463,0.736389
601919,2020/3/31,0,0.966531,0.606667,2.58604,0.721141
601919,2020/6/30,0,0.945524,0.656254,2.587774,0.721276
601919,2020/9/30,0,0.94433,0.661014,2.398138,0.705721
601919,2020/12/31,0,0.972438,0.711166,2.455353,0.710594
601919,2021/3/31,0,1.155373,0.882844,2.01082,0.667865
601919,2021/6/30,0,1.47419,1.200915,1.70272,0.630002
601919,2021/9/30,0,1.668862,1.416524,1.447429,0.591408
601919,2021/12/31,0,1.669257,1.466741,1.312797,0.567623
601919,2022/3/31,0,1.731527,1.549652,1.261583,0.557832
